root@localhost:~# docker system df -v
Images space usage:

REPOSITORY                                          TAG       IMAGE ID       CREATED         SIZE      SHARED SIZE   UNIQUE SIZE   CONTAINERS
sweb.eval.x86_64.sympy__sympy-17655                 latest    eda06718c39b   9 days ago      2.58GB    2.585GB       0B            0
sweb.eval.x86_64.sympy__sympy-17630                 latest    02c8ab075468   9 days ago      2.58GB    2.585GB       0B            0
sweb.eval.x86_64.sympy__sympy-17318                 latest    77d1622c294a   9 days ago      2.58GB    2.585GB       0B            0
sweb.eval.x86_64.sympy__sympy-17139                 latest    e978df29b9f6   9 days ago      2.58GB    2.585GB       0B            0
sweb.eval.x86_64.sympy__sympy-16886                 latest    e25b903e5e73   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-16792                 latest    d6aef78af96f   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-16766                 latest    4900c4f438a5   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-16597                 latest    87dd41fb793d   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-16450                 latest    6a7f5b402be2   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-15976                 latest    5f534c412357   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-15875                 latest    d4f4bd8931fd   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-15809                 latest    254b36048552   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-15599                 latest    4be320f54629   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-15349                 latest    053d9f89f647   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-15345                 latest    81685e476251   9 days ago      2.58GB    2.584GB       0B            0
sweb.eval.x86_64.sympy__sympy-15017                 latest    cde7b0cabbbd   9 days ago      2.58GB    2.583GB       0B            0
sweb.eval.x86_64.sympy__sympy-14976                 latest    fc14cc429d13   9 days ago      2.58GB    2.581GB       0B            0
sweb.eval.x86_64.sympy__sympy-14711                 latest    696b65b19489   9 days ago      2.58GB    2.581GB       0B            0
sweb.eval.x86_64.sympy__sympy-14531                 latest    ced6e75b23d8   9 days ago      2.58GB    2.581GB       0B            0
sweb.eval.x86_64.sympy__sympy-14248                 latest    51cbb0e861c3   9 days ago      2.58GB    2.581GB       0B            0
sweb.eval.x86_64.sympy__sympy-13974                 latest    579035fceca5   9 days ago      2.58GB    2.58GB        0B            0
sweb.eval.x86_64.sympy__sympy-13878                 latest    12a09dc570d8   9 days ago      2.58GB    2.58GB        0B            0
sweb.eval.x86_64.sympy__sympy-13877                 latest    fbab72b965d7   9 days ago      2.58GB    2.581GB       0B            0
sweb.eval.x86_64.sympy__sympy-13852                 latest    dde227105043   9 days ago      2.58GB    2.58GB        0B            0
sweb.eval.x86_64.sympy__sympy-13798                 latest    fde879dbd57d   9 days ago      2.58GB    2.58GB        0B            0
sweb.eval.x86_64.sympy__sympy-13757                 latest    207c6907ca36   9 days ago      2.58GB    2.58GB        0B            0
sweb.eval.x86_64.sympy__sympy-13647                 latest    57f6dfe11f08   9 days ago      2.58GB    2.58GB        0B            0
sweb.eval.x86_64.sympy__sympy-13615                 latest    82b710d6de24   9 days ago      2.58GB    2.58GB        0B            0
sweb.eval.x86_64.sympy__sympy-13551                 latest    963707966bfc   9 days ago      2.58GB    2.58GB        0B            0
sweb.eval.x86_64.sympy__sympy-13480                 latest    28bf17446748   9 days ago      2.58GB    2.58GB        0B            0
sweb.eval.x86_64.sympy__sympy-13372                 latest    352a48171adb   9 days ago      2.58GB    2.58GB        0B            0
sweb.eval.x86_64.sympy__sympy-13091                 latest    7667afb2ac29   9 days ago      2.57GB    2.573GB       0B            0
sweb.eval.x86_64.sympy__sympy-13031                 latest    90f063b803d3   9 days ago      2.57GB    2.573GB       0B            0
sweb.eval.x86_64.sympy__sympy-12489                 latest    a1d8d911fed1   9 days ago      2.57GB    2.572GB       0B            0
sweb.eval.x86_64.sympy__sympy-12481                 latest    89db8ff2de45   9 days ago      2.57GB    2.572GB       0B            0
sweb.eval.x86_64.sympy__sympy-12419                 latest    d1cf74d43f20   9 days ago      2.57GB    2.572GB       0B            0
sweb.eval.x86_64.sympy__sympy-12096                 latest    c8f9244c34c8   9 days ago      2.57GB    2.572GB       0B            0
sweb.eval.x86_64.sympy__sympy-11618                 latest    5cb5a4a62232   9 days ago      2.57GB    2.572GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9711            latest    6447ca4cea72   9 days ago      2.56GB    2.564GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9698            latest    37fca24473fa   9 days ago      2.56GB    2.564GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9673            latest    7a2c1516d1ee   9 days ago      2.56GB    2.564GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9658            latest    cfef318b17bb   9 days ago      2.56GB    2.564GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9602            latest    24e42614afa4   9 days ago      2.56GB    2.564GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9461            latest    af15ba459022   9 days ago      2.56GB    2.564GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9591            latest    94d3a7f773e8   9 days ago      2.56GB    2.564GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9367            latest    23d0449025f0   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9320            latest    dc827733108f   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9281            latest    29c97df0088a   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9258            latest    86ed23e12337   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9230            latest    2236d0901976   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-9229            latest    0fe9d74e6a3b   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8721            latest    b3de3319f505   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8638            latest    159610467ce9   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8621            latest    d4e10257bd48   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8595            latest    fd6c88fd758a   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8593            latest    73fe0555c2d1   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8551            latest    9384945c84ad   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8548            latest    ff5bca8482f6   9 days ago      2.56GB    2.563GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8475            latest    6c94b049c65c   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8459            latest    add5d4ecfebc   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8269            latest    03d2838456ee   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8265            latest    0d8076ddfeeb   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8120            latest    0e16b3c2ab03   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8035            latest    0feb8e6a4c7e   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-8056            latest    a109bac2b854   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-7985            latest    b453f75ce3d8   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-7910            latest    63bc0836a928   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-7889            latest    eb3cd667b5cd   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-7757            latest    c0e5c89e4c5f   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-7748            latest    e4e589bb0425   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-7590            latest    f406a5c6b2d6   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-7462            latest    b33c63a9d185   9 days ago      2.57GB    2.566GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-11510           latest    1396cd4f6dee   9 days ago      2.68GB    2.685GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-7454            latest    e131f96114e5   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-7440            latest    cca844f58c9d   9 days ago      2.57GB    2.567GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-10614           latest    a17aaf8c3569   9 days ago      2.68GB    2.684GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-26323   latest    fc6d02d95145   9 days ago      4.45GB    4.451GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-11445           latest    8bcbc15cedfb   9 days ago      2.56GB    2.561GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-10673           latest    ab8388fe8cf4   9 days ago      2.56GB    2.562GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-10466           latest    eecf88315cfc   9 days ago      2.56GB    2.562GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-10449           latest    d53a6d3cbcd7   9 days ago      2.56GB    2.562GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-26194   latest    3d174777d698   9 days ago      4.44GB    4.44GB        0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-10435           latest    72f124e98066   9 days ago      2.56GB    2.562GB       0B            0
sweb.eval.x86_64.sphinx-doc__sphinx-10323           latest    a32feb8d1ab1   9 days ago      2.56GB    2.564GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-25973   latest    a7ab4c31d3d0   9 days ago      4.44GB    4.438GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-9288    latest    c2cf2041b2e4   9 days ago      3.56GB    3.555GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-25931   latest    494a276bff22   9 days ago      4.44GB    4.438GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-25747   latest    d713a907037c   9 days ago      4.43GB    4.429GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-25232   latest    3754d9c09e72   9 days ago      4.43GB    4.428GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-25102   latest    9c2f2d52d22f   9 days ago      4.43GB    4.43GB        0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-15100   latest    68805810653b   9 days ago      3.56GB    3.557GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-14983   latest    2e141ae247a6   9 days ago      3.56GB    3.556GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-14894   latest    4eb16b7866af   9 days ago      3.56GB    3.56GB        0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-14710   latest    ed9a09ec63cb   9 days ago      3.56GB    3.557GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-14629   latest    dfd0c86f2726   9 days ago      3.56GB    3.555GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-14496   latest    a30125c2f457   9 days ago      3.56GB    3.556GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-14141   latest    9ec0e7d2c21c   9 days ago      3.56GB    3.555GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-14087   latest    9828f36f85ae   9 days ago      3.56GB    3.555GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-14053   latest    ab98089b7245   9 days ago      3.56GB    3.555GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-13779   latest    1d8425984d63   9 days ago      3.55GB    3.555GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-13496   latest    7bbdc6079984   9 days ago      3.53GB    3.527GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-13439   latest    6a69c63a6b92   9 days ago      3.52GB    3.525GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-13328   latest    f76788b138c7   9 days ago      3.52GB    3.524GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-13142   latest    601842ab3bca   9 days ago      3.51GB    3.506GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-13135   latest    49ce9ce4f237   9 days ago      3.51GB    3.506GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-13124   latest    44448ae947d6   9 days ago      3.51GB    3.506GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-12682   latest    bfb29a42fadf   9 days ago      3.56GB    3.555GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-12973   latest    0158e35d7b38   9 days ago      3.5GB     3.5GB         0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-12585   latest    905ce2dcff96   9 days ago      3.5GB     3.5GB         0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-11578   latest    fee600f7a3c9   9 days ago      3.5GB     3.498GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-11310   latest    b61b75d1d912   9 days ago      3.49GB    3.489GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-10844   latest    81a2b84bbcb8   9 days ago      3.49GB    3.489GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-10908   latest    2e6efa7d147c   9 days ago      3.49GB    3.489GB       0B            0
sweb.eval.x86_64.scikit-learn__scikit-learn-10297   latest    38283bc83eaf   9 days ago      3.49GB    3.489GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-8399            latest    fcf260355c1a   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-7982            latest    40a418e3fc02   9 days ago      2.39GB    2.391GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-7571            latest    a0cc100befd2   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-7521            latest    c2f5d4e83d96   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-7490            latest    c3b50d850f37   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-7432            latest    24aa64a831eb   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-26466       latest    4f33e2207309   9 days ago      7.46GB    7.457GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-7324            latest    a4faa5b0566d   9 days ago      2.39GB    2.391GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-7236            latest    b7307b1eaf60   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-7205            latest    d81042fdda51   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-6202            latest    935057f00c65   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-6197            latest    71d7a92f0e5e   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-5840            latest    24493bbc0c0c   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-5809            latest    c0386819799e   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-5787            latest    f0f0c25841b9   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-5631            latest    2c5b155fcee3   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-5262            latest    5fc3edc782cb   9 days ago      2.4GB     2.397GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-10356           latest    69be028abdf3   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-10081           latest    f75e7c88eae3   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pytest-dev__pytest-10051           latest    855d31a48218   9 days ago      2.39GB    2.392GB       0B            0
sweb.eval.x86_64.pylint-dev__pylint-8898            latest    359d97d1620e   9 days ago      2.44GB    2.439GB       0B            0
sweb.eval.x86_64.pylint-dev__pylint-7277            latest    b26944b4dfa3   9 days ago      2.53GB    2.525GB       0B            0
sweb.eval.x86_64.pylint-dev__pylint-7080            latest    7db239a043b6   9 days ago      2.53GB    2.526GB       0B            0
sweb.eval.x86_64.pylint-dev__pylint-6903            latest    aa4860720607   9 days ago      2.53GB    2.526GB       0B            0
sweb.eval.x86_64.pylint-dev__pylint-6528            latest    c5e87bd16391   9 days ago      2.52GB    2.523GB       0B            0
sweb.eval.x86_64.pylint-dev__pylint-6386            latest    61e1d2f68eca   9 days ago      2.52GB    2.523GB       0B            0
sweb.eval.x86_64.pylint-dev__pylint-4970            latest    92c6123a07bd   9 days ago      2.55GB    2.551GB       0B            0
sweb.eval.x86_64.pylint-dev__pylint-4661            latest    dea8049a1234   9 days ago      2.55GB    2.551GB       0B            0
sweb.eval.x86_64.pylint-dev__pylint-4604            latest    4a003d2351af   9 days ago      2.55GB    2.549GB       0B            0
sweb.eval.x86_64.pylint-dev__pylint-4551            latest    978ab4e0f741   9 days ago      2.55GB    2.549GB       0B            0
sweb.eval.x86_64.pydata__xarray-7393                latest    f8e17c91f350   9 days ago      4.54GB    4.541GB       0B            0
sweb.eval.x86_64.pydata__xarray-7233                latest    b86add4988e5   9 days ago      4.54GB    4.541GB       0B            0
sweb.eval.x86_64.pydata__xarray-7229                latest    8dff75d23ef3   9 days ago      4.54GB    4.542GB       0B            0
sweb.eval.x86_64.pydata__xarray-6992                latest    83833cb8162e   9 days ago      4.64GB    4.638GB       0B            0
sweb.eval.x86_64.pydata__xarray-6938                latest    847c69ef3a83   9 days ago      4.64GB    4.638GB       0B            0
sweb.eval.x86_64.pydata__xarray-6744                latest    c21275bdc984   9 days ago      4.64GB    4.638GB       0B            0
sweb.eval.x86_64.pydata__xarray-6721                latest    8c2e5cdb60cd   9 days ago      4.64GB    4.638GB       0B            0
sweb.eval.x86_64.pydata__xarray-6599                latest    a4427a8fa213   9 days ago      4.63GB    4.629GB       0B            0
sweb.eval.x86_64.pydata__xarray-6461                latest    69ab85132403   9 days ago      4.63GB    4.629GB       0B            0
sweb.eval.x86_64.pydata__xarray-4966                latest    db506e158fde   9 days ago      4.99GB    4.987GB       0B            0
sweb.eval.x86_64.pydata__xarray-4695                latest    333fe585f2a9   9 days ago      4.99GB    4.986GB       0B            0
sweb.eval.x86_64.pydata__xarray-4687                latest    9fcc4a484a0c   9 days ago      4.99GB    4.989GB       0B            0
sweb.eval.x86_64.pydata__xarray-4356                latest    897647c65cb5   9 days ago      4.99GB    4.986GB       0B            0
sweb.eval.x86_64.pydata__xarray-4629                latest    a0887f8aec87   9 days ago      4.99GB    4.986GB       0B            0
sweb.eval.x86_64.pydata__xarray-4094                latest    ecd8fc23f1f9   9 days ago      4.99GB    4.986GB       0B            0
sweb.eval.x86_64.pydata__xarray-4075                latest    40104815adf6   9 days ago      4.99GB    4.986GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-26342       latest    f77e0ecc02e1   9 days ago      7.46GB    7.456GB       0B            0
sweb.eval.x86_64.pydata__xarray-3993                latest    353ff86af743   9 days ago      4.99GB    4.986GB       0B            0
sweb.eval.x86_64.pydata__xarray-3677                latest    13ec8f536173   9 days ago      4.99GB    4.985GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-26291       latest    88abb7cf491c   9 days ago      7.46GB    7.456GB       0B            0
sweb.eval.x86_64.pydata__xarray-3305                latest    271e76c96cf9   9 days ago      4.99GB    4.986GB       0B            0
sweb.eval.x86_64.pydata__xarray-3151                latest    16d5799e0492   9 days ago      4.99GB    4.986GB       0B            0
sweb.eval.x86_64.pydata__xarray-3095                latest    2fc9aa2c7352   9 days ago      4.99GB    4.986GB       0B            0
sweb.eval.x86_64.pydata__xarray-2905                latest    3e40442f6df0   9 days ago      4.99GB    4.986GB       0B            0
sweb.eval.x86_64.psf__requests-6028                 latest    d7655b64f490   9 days ago      2.38GB    2.376GB       0B            0
sweb.eval.x86_64.psf__requests-5414                 latest    d3f4b245dee5   9 days ago      2.38GB    2.376GB       0B            0
sweb.eval.x86_64.psf__requests-2931                 latest    ff37ebdb79a3   9 days ago      2.37GB    2.373GB       0B            0
sweb.eval.x86_64.psf__requests-2317                 latest    95b04722580c   9 days ago      2.37GB    2.372GB       0B            0
sweb.eval.x86_64.psf__requests-1921                 latest    8cc1dec38f3a   9 days ago      2.37GB    2.372GB       0B            0
sweb.eval.x86_64.psf__requests-1766                 latest    cec2e2d8bafa   9 days ago      2.37GB    2.372GB       0B            0
sweb.eval.x86_64.psf__requests-1724                 latest    6fcf33e58380   9 days ago      2.37GB    2.372GB       0B            0
sweb.eval.x86_64.psf__requests-1142                 latest    3a191d225638   9 days ago      2.37GB    2.372GB       0B            0
sweb.eval.x86_64.pallets__flask-5014                latest    cf2b068eb078   9 days ago      2.63GB    2.632GB       0B            0
sweb.eval.x86_64.mwaskom__seaborn-3187              latest    986cf63f1a2d   9 days ago      2.93GB    2.928GB       0B            0
sweb.eval.x86_64.mwaskom__seaborn-3069              latest    1c797a262b5d   9 days ago      2.92GB    2.92GB        0B            0
sweb.eval.x86_64.matplotlib__matplotlib-26113       latest    3f999321b8bd   9 days ago      7.46GB    7.459GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-26208       latest    ac0a8538b177   9 days ago      7.46GB    7.456GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-25960       latest    833671cb133b   9 days ago      7.46GB    7.456GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-25775       latest    346e0b1f63ec   9 days ago      7.46GB    7.46GB        0B            0
sweb.eval.x86_64.matplotlib__matplotlib-25479       latest    9b8ff4d02c55   9 days ago      7.46GB    7.46GB        0B            0
sweb.eval.x86_64.matplotlib__matplotlib-25332       latest    c44a7533784b   9 days ago      7.46GB    7.459GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-25311       latest    284b82508423   9 days ago      7.46GB    7.459GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-25287       latest    7340ea5f8139   9 days ago      7.46GB    7.459GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-24970       latest    ca132a7a2b78   9 days ago      7.33GB    7.328GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-25122       latest    2ba88af3d6da   9 days ago      7.33GB    7.328GB       0B            0
sweb.eval.x86_64.matplotlib__matplotlib-24870       latest    5d872554dfc7   9 days ago      7.33GB    7.328GB       0B            1
