,id,anthropic/claude-3-opus-20240229_score,anthropic/claude-3-opus-20240229_pass_to_pass_pass_rate,anthropic/claude-3-opus-20240229_fail_to_pass_pass_rate,anthropic/claude-3-sonnet-20240229_score,anthropic/claude-3-sonnet-20240229_pass_to_pass_pass_rate,anthropic/claude-3-sonnet-20240229_fail_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20240620_score,anthropic/claude-3-5-sonnet-20240620_pass_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20240620_fail_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20241022_score,anthropic/claude-3-5-sonnet-20241022_pass_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20241022_fail_to_pass_pass_rate,openai/gpt4o-2024-08-06_score,openai/gpt4o-2024-08-06_pass_to_pass_pass_rate,openai/gpt4o-2024-08-06_fail_to_pass_pass_rate,openai/gpt-4o-mini-2024-07-18_score,openai/gpt-4o-mini-2024-07-18_pass_to_pass_pass_rate,openai/gpt-4o-mini-2024-07-18_fail_to_pass_pass_rate,openai/gpt-4-turbo-2024-04-09_score,openai/gpt-4-turbo-2024-04-09_pass_to_pass_pass_rate,openai/gpt-4-turbo-2024-04-09_fail_to_pass_pass_rate,difficulty,cluster
120,django__django-13568,0.0,1.0,,0.0,1.0,0.0,0.0,0.9230769230769232,0.0,0.0,0.9230769230769232,1.0,0.0,0.9230769230769232,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4
295,psf__requests-2931,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.988095238095238,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,4
199,django__django-15569,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,5
226,django__django-16429,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,5
74,django__django-12193,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0,5
409,sphinx-doc__sphinx-8621,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,6
271,matplotlib__matplotlib-24627,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,6
460,sympy__sympy-17318,0.0,1.0,,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1,6
423,sphinx-doc__sphinx-9698,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8666666666666667,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,6
16,astropy__astropy-7166,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,6
53,django__django-11551,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.9831932773109244,1.0,0.0,0.0,0.0,0.0,0.9915966386554622,1.0,1,7
341,pytest-dev__pytest-7236,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,7
60,django__django-11790,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,7
267,matplotlib__matplotlib-24026,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,7
451,sympy__sympy-15809,0.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,0,8
307,pydata__xarray-4629,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,8
195,django__django-15525,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,1,9
351,scikit-learn__scikit-learn-10908,0.0,1.0,0.0,0.0,0.9787234042553192,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,9
397,sphinx-doc__sphinx-7985,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,,,,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.5,1,9
491,sympy__sympy-23534,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,9
422,sphinx-doc__sphinx-9673,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,9
217,django__django-16116,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,9
455,sympy__sympy-16597,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,9
279,matplotlib__matplotlib-25479,0.0,0.9961977186311788,0.0,0.0,0.0,0.0,0.0,0.9961977186311788,0.0,0.0,0.9961977186311788,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,9
464,sympy__sympy-18199,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,9
151,django__django-14351,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,1,9
85,django__django-12708,0.0,1.0,,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,2,9
7,astropy__astropy-14096,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,9
92,django__django-13012,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,9
435,sympy__sympy-13615,0.0,0.8260869565217391,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9857142857142858,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,9
81,django__django-12325,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,,0.0,1.0,,2,9
473,sympy__sympy-19954,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0,9
266,matplotlib__matplotlib-23476,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9134615384615384,0.0,0,9
168,django__django-14771,0.0,0.9666666666666668,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,9
237,django__django-16642,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,9
382,sphinx-doc__sphinx-10435,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8378378378378378,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7162162162162162,,0.0,1.0,0.0,0,9
309,pydata__xarray-4695,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,9
390,sphinx-doc__sphinx-7454,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,9
93,django__django-13023,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,9
